Date,PARANAIBA CACU
2020-07-19,80.0
2020-07-20,78.375
2020-07-21,76.33333333333333
2020-07-22,80.54166666666667
2020-07-23,75.375
2020-07-24,76.25
2020-07-25,78.41666666666667
2020-07-26,72.0
2020-07-27,76.45833333333333
2020-07-28,74.58333333333333
2020-07-29,74.95833333333333
2020-07-30,73.45833333333333
2020-07-31,73.20833333333333
2020-08-01,70.29166666666667
2020-08-02,73.0
2020-08-03,72.375
2020-08-04,67.45833333333333
2020-08-05,72.875
2020-08-06,70.58333333333333
2020-08-07,71.54166666666667
2020-08-08,68.79166666666667
2020-08-09,67.875
2020-08-10,70.0
2020-08-11,66.54166666666667
2020-08-12,71.54166666666667
2020-08-13,68.29166666666667
2020-08-14,67.66666666666667
2020-08-15,63.958333333333336
2020-08-16,66.375
