Date,URUGUAI CAMPOS NOVOS
2020-07-16,391.5833333333333
2020-07-17,391.75
2020-07-18,436.5833333333333
2020-07-19,432.875
2020-07-20,376.2916666666667
2020-07-21,429.9583333333333
2020-07-22,333.0416666666667
2020-07-23,283.7916666666667
2020-07-24,242.91666666666666
2020-07-25,153.54166666666666
2020-07-26,117.0
2020-07-27,293.5
2020-07-28,220.54166666666666
2020-07-29,149.83333333333334
2020-07-30,147.91666666666666
2020-07-31,185.04166666666666
2020-08-01,250.125
2020-08-02,145.79166666666666
2020-08-03,150.25
2020-08-04,139.5
2020-08-05,131.41666666666666
2020-08-06,123.75
2020-08-07,119.91666666666667
2020-08-08,109.70833333333333
2020-08-09,102.125
2020-08-10,136.41666666666666
2020-08-11,124.5
2020-08-12,130.20833333333334
2020-08-13,287.25
